DEMO	0	0
DEMO	1	1
DEMO	2	2
DEMO	3	3
DEMO	4	4
DEMO	5	5
DEMO	6	6
2505	0	3888180
2505	1	6496001
2505	3	7994196
2505	2	3610834
2515	0	4009154
2515	2	20308207
2515	1	6896590
2521	5	10716331
2521	4	308983985
2521	4	308983985
2521	6	1
2521	0	5565937
2521	1	7182106
2521	2	5526794
2521	0	2084329
2534	1	14568785
2534	4	15378450
2534	0	2934503
2534	5	12112457
2534	1	2143194
2552	2	3926452
2554	5	5969705
2554	3	9240288
2554	0	10349772
2554	1	12470028
2554	2	5025330
2554	4	3660503
2554	6	4271583
2555	0	2768203
2562	5	14666582
2562	0	11165276
2562	4	11204849
2562	1	12060720
2562	6	16706770
2562	3	29738920
2562	6	2562195
2565	0	11413769
2565	6	13694580
2565	4	7949593
2565	1	12113017
2565	5	13308234
2565	2	13833458
2566	1	23224815
2566	0	10347114
2566	4	15837669
2566	2	10793529
2566	3	6500448
2569	2	12226125
2569	0	12625765
2569	6	2569117
2569	1	5604645
2569	6	2569133
2570	0	12761594
2570	1	2570077
2570	2	6129361
2571	4	4814333
2571	1	7947834
2571	6	5089178
2571	5	4679929
2571	3	10333299
2571	0	12410158
2573	1	10332282
2573	0	15438395
2575	0	6247399
2575	1	5535184
2576	3	4565251
2576	1	82041694
2576	0	7350892
2576	2	11058768
2578	4	5410752
2578	1	6366703
2578	2	16122552
2578	5	6852478
2578	0	10483410
2579	2	16117360
2579	0	4348862
2579	1	9998419
2580	0	13556589
2580	1	13735589
2580	2	2971728
2580	3	3397382
2581	0	6554255
2581	0	6554255
2584	1	6918476
2584	0	7613978
2584	2	2584045
